course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,text_profile
Architecting with Google Compute Engine,Google Cloud,SPECIALIZATION,4.7,Intermediate,310k,"Architecting with Google Compute Engine by Google Cloud, Intermediate level, SPECIALIZATION"
Architecting with Google Kubernetes Engine 日本語版,Google Cloud,SPECIALIZATION,4.5,Beginner,3.9k,"Architecting with Google Kubernetes Engine 日本語版 by Google Cloud, Beginner level, SPECIALIZATION"
Arizona State University TESOL,Arizona State University,PROFESSIONAL CERTIFICATE,4.9,Beginner,150k,"Arizona State University TESOL by Arizona State University, Beginner level, PROFESSIONAL CERTIFICATE"
Art & Activity: Interactive Strategies for Engaging with Art,The Museum of Modern Art,COURSE,4.8,Mixed,79k,"Art & Activity: Interactive Strategies for Engaging with Art by The Museum of Modern Art, Mixed level, COURSE"
Art & Ideas: Teaching with Themes,The Museum of Modern Art,COURSE,4.8,Mixed,31k,"Art & Ideas: Teaching with Themes by The Museum of Modern Art, Mixed level, COURSE"
Arts and Culture Strategy,National Arts Strategies,COURSE,4.6,Mixed,15k,"Arts and Culture Strategy by National Arts Strategies, Mixed level, COURSE"
Arts and Heritage Management,Università Bocconi,COURSE,4.8,Mixed,15k,"Arts and Heritage Management by Università Bocconi, Mixed level, COURSE"
Aspectos básicos de la planificación y la gestión de proyectos,University of Virginia,COURSE,4.9,Beginner,10k,"Aspectos básicos de la planificación y la gestión de proyectos by University of Virginia, Beginner level, COURSE"
Astrobiology and the Search for Extraterrestrial Life,The University of Edinburgh,COURSE,4.7,Mixed,66k,"Astrobiology and the Search for Extraterrestrial Life by The University of Edinburgh, Mixed level, COURSE"
Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles,Pontificia Universidad Católica de Chile,COURSE,4.8,Intermediate,33k,"Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles by Pontificia Universidad Católica de Chile, Intermediate level, COURSE"
Autism Spectrum Disorder,"University of California, Davis",COURSE,4.6,Mixed,56k,"Autism Spectrum Disorder by University of California, Davis, Mixed level, COURSE"
Autodesk CAD/CAM for Manufacturing,Autodesk,SPECIALIZATION,4.8,Intermediate,7.3k,"Autodesk CAD/CAM for Manufacturing by Autodesk, Intermediate level, SPECIALIZATION"
Autodesk CAD/CAM/CAE for Mechanical Engineering,Autodesk,SPECIALIZATION,4.8,Intermediate,9.2k,"Autodesk CAD/CAM/CAE for Mechanical Engineering by Autodesk, Intermediate level, SPECIALIZATION"
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,COURSE,4.7,Advanced,22k,"Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep by Autodesk, Advanced level, COURSE"
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,COURSE,4.7,Advanced,9.7k,"Autodesk Certified Professional: Revit for Architectural Design Exam Prep by Autodesk, Advanced level, COURSE"
BIM Fundamentals for Engineers,National Taiwan University,COURSE,4.6,Beginner,13k,"BIM Fundamentals for Engineers by National Taiwan University, Beginner level, COURSE"
Basic Statistics,University of Amsterdam,COURSE,4.6,Beginner,180k,"Basic Statistics by University of Amsterdam, Beginner level, COURSE"
Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",COURSE,4.8,Intermediate,91k,"Bayesian Statistics: From Concept to Data Analysis by University of California, Santa Cruz, Intermediate level, COURSE"
Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",COURSE,4.8,Intermediate,29k,"Bayesian Statistics: Techniques and Models by University of California, Santa Cruz, Intermediate level, COURSE"
Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,COURSE,4.9,Mixed,210k,"Become a CBRS Certified Professional Installer by Google by Google - Spectrum Sharing, Mixed level, COURSE"
Become a Journalist: Report the News!,Michigan State University,SPECIALIZATION,4.7,Beginner,28k,"Become a Journalist: Report the News! by Michigan State University, Beginner level, SPECIALIZATION"
Become a Sustainable Business Change Agent,University of Colorado System,SPECIALIZATION,4.7,Intermediate,4.2k,"Become a Sustainable Business Change Agent by University of Colorado System, Intermediate level, SPECIALIZATION"
Becoming a Sports Agent,Case Western Reserve University,COURSE,4.7,Beginner,6.5k,"Becoming a Sports Agent by Case Western Reserve University, Beginner level, COURSE"
Becoming a changemaker: Introduction to Social Innovation,University of Cape Town,COURSE,4.8,Beginner,61k,"Becoming a changemaker: Introduction to Social Innovation by University of Cape Town, Beginner level, COURSE"
Behavioral Finance,Duke University,COURSE,4.4,Mixed,55k,"Behavioral Finance by Duke University, Mixed level, COURSE"
Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,University of Michigan,COURSE,4.6,Mixed,2.3k,"Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development by University of Michigan, Mixed level, COURSE"
Big Data – Introducción al uso práctico de datos masivos,Universitat Autònoma de Barcelona,SPECIALIZATION,4.5,Beginner,8.8k,"Big Data – Introducción al uso práctico de datos masivos by Universitat Autònoma de Barcelona, Beginner level, SPECIALIZATION"
Biohacking Your Brain's Health,Emory University,COURSE,4.6,Beginner,35k,"Biohacking Your Brain's Health by Emory University, Beginner level, COURSE"
Biology Meets Programming: Bioinformatics for Beginners,University of California San Diego,COURSE,4.4,Beginner,88k,"Biology Meets Programming: Bioinformatics for Beginners by University of California San Diego, Beginner level, COURSE"
Biostatistics in Public Health,Johns Hopkins University,SPECIALIZATION,4.8,Beginner,14k,"Biostatistics in Public Health by Johns Hopkins University, Beginner level, SPECIALIZATION"
Blended Language Learning: Design and Practice for Teachers,University of Colorado Boulder,COURSE,4.8,Intermediate,1.9k,"Blended Language Learning: Design and Practice for Teachers by University of Colorado Boulder, Intermediate level, COURSE"
Blockchain,University at Buffalo,SPECIALIZATION,4.6,Intermediate,68k,"Blockchain by University at Buffalo, Intermediate level, SPECIALIZATION"
Blockchain Revolution,INSEAD,SPECIALIZATION,4.7,Beginner,21k,"Blockchain Revolution by INSEAD, Beginner level, SPECIALIZATION"
Blockchain Revolution in Financial Services,INSEAD,SPECIALIZATION,4.6,Beginner,1.6k,"Blockchain Revolution in Financial Services by INSEAD, Beginner level, SPECIALIZATION"
Blockchain: Foundations and Use Cases,ConsenSys Academy,COURSE,4.7,Beginner,31k,"Blockchain: Foundations and Use Cases by ConsenSys Academy, Beginner level, COURSE"
Boosting Creativity for Innovation,HEC Paris,COURSE,4.9,Beginner,9.5k,"Boosting Creativity for Innovation by HEC Paris, Beginner level, COURSE"
"Brand Management: Aligning Business, Brand and Behaviour",London Business School,COURSE,4.9,Beginner,57k,"Brand Management: Aligning Business, Brand and Behaviour by London Business School, Beginner level, COURSE"
Branding: The Creative Journey,IE Business School,SPECIALIZATION,4.6,Beginner,26k,"Branding: The Creative Journey by IE Business School, Beginner level, SPECIALIZATION"
Budgeting and Scheduling Projects,"University of California, Irvine",COURSE,4.7,Mixed,84k,"Budgeting and Scheduling Projects by University of California, Irvine, Mixed level, COURSE"
