course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,text_profile
From Data to Insights with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.6,Beginner,26k,"From Data to Insights with Google Cloud Platform by Google Cloud, Beginner level, SPECIALIZATION"
From the Big Bang to Dark Energy,The University of Tokyo,COURSE,4.8,Beginner,52k,"From the Big Bang to Dark Energy by The University of Tokyo, Beginner level, COURSE"
Front-End Web Development with React,The Hong Kong University of Science and Technology,COURSE,4.7,Intermediate,45k,"Front-End Web Development with React by The Hong Kong University of Science and Technology, Intermediate level, COURSE"
Front-End Web UI Frameworks and Tools: Bootstrap 4,The Hong Kong University of Science and Technology,COURSE,4.8,Intermediate,89k,"Front-End Web UI Frameworks and Tools: Bootstrap 4 by The Hong Kong University of Science and Technology, Intermediate level, COURSE"
Full Stack Web and Multiplatform Mobile App Development,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,Intermediate,150k,"Full Stack Web and Multiplatform Mobile App Development by The Hong Kong University of Science and Technology, Intermediate level, SPECIALIZATION"
Full-Stack Web Development with React,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,Intermediate,140k,"Full-Stack Web Development with React by The Hong Kong University of Science and Technology, Intermediate level, SPECIALIZATION"
Functional Programming Principles in Scala,École Polytechnique Fédérale de Lausanne,COURSE,4.8,Intermediate,170k,"Functional Programming Principles in Scala by École Polytechnique Fédérale de Lausanne, Intermediate level, COURSE"
Functional Programming in Scala,École Polytechnique Fédérale de Lausanne,SPECIALIZATION,4.7,Intermediate,220k,"Functional Programming in Scala by École Polytechnique Fédérale de Lausanne, Intermediate level, SPECIALIZATION"
Fundamental Neuroscience for Neuroimaging,Johns Hopkins University,COURSE,4.6,Beginner,30k,"Fundamental Neuroscience for Neuroimaging by Johns Hopkins University, Beginner level, COURSE"
Fundamentals of Accounting,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,Beginner,39k,"Fundamentals of Accounting by University of Illinois at Urbana-Champaign, Beginner level, SPECIALIZATION"
Fundamentals of Computing,Rice University,SPECIALIZATION,4.8,Beginner,200k,"Fundamentals of Computing by Rice University, Beginner level, SPECIALIZATION"
Fundamentals of Engineering Exam Review,Georgia Institute of Technology,COURSE,4.7,Mixed,49k,"Fundamentals of Engineering Exam Review by Georgia Institute of Technology, Mixed level, COURSE"
Fundamentals of GIS,"University of California, Davis",COURSE,4.8,Beginner,86k,"Fundamentals of GIS by University of California, Davis, Beginner level, COURSE"
Fundamentals of Graphic Design,California Institute of the Arts,COURSE,4.8,Beginner,290k,"Fundamentals of Graphic Design by California Institute of the Arts, Beginner level, COURSE"
Fundamentals of Immunology,Rice University,SPECIALIZATION,4.7,Intermediate,20k,"Fundamentals of Immunology by Rice University, Intermediate level, SPECIALIZATION"
Fundamentals of Immunology: Innate Immunity and B-Cell Function,Rice University,COURSE,4.7,Intermediate,18k,"Fundamentals of Immunology: Innate Immunity and B-Cell Function by Rice University, Intermediate level, COURSE"
Fundamentals of Music Theory,The University of Edinburgh,COURSE,4.6,Beginner,180k,"Fundamentals of Music Theory by The University of Edinburgh, Beginner level, COURSE"
Fundamentals of Project Planning and Management,University of Virginia,COURSE,4.7,Beginner,120k,"Fundamentals of Project Planning and Management by University of Virginia, Beginner level, COURSE"
Fundamentals of Quantitative Modeling,University of Pennsylvania,COURSE,4.6,Mixed,110k,"Fundamentals of Quantitative Modeling by University of Pennsylvania, Mixed level, COURSE"
Fundamentals of Reinforcement Learning,University of Alberta,COURSE,4.8,Intermediate,22k,"Fundamentals of Reinforcement Learning by University of Alberta, Intermediate level, COURSE"
Fundamentals of Visualization with Tableau,"University of California, Davis",COURSE,4.5,Beginner,81k,"Fundamentals of Visualization with Tableau by University of California, Davis, Beginner level, COURSE"
Fundamentos Empresariales,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,25k,"Fundamentos Empresariales by University of Pennsylvania, Beginner level, SPECIALIZATION"
Fundamentos Estratégicos Empresariales,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,Beginner,56k,"Fundamentos Estratégicos Empresariales by Universidad Nacional Autónoma de México, Beginner level, SPECIALIZATION"
Fundamentos de Excel para Negocios,Universidad Austral,COURSE,4.7,Beginner,150k,"Fundamentos de Excel para Negocios by Universidad Austral, Beginner level, COURSE"
Fundamentos de Finanzas Empresariales,Universidad de los Andes,COURSE,4.8,Beginner,110k,"Fundamentos de Finanzas Empresariales by Universidad de los Andes, Beginner level, COURSE"
Fundamentos de la escritura,Tecnológico de Monterrey,COURSE,4.6,Beginner,47k,"Fundamentos de la escritura by Tecnológico de Monterrey, Beginner level, COURSE"
Fundraising and Development,"University of California, Davis",SPECIALIZATION,4.6,Beginner,4.9k,"Fundraising and Development by University of California, Davis, Beginner level, SPECIALIZATION"
Futures Thinking,Institute for the Future,SPECIALIZATION,4.8,Beginner,9.4k,"Futures Thinking by Institute for the Future, Beginner level, SPECIALIZATION"
G Suite Administration,Google Cloud,SPECIALIZATION,4.7,Beginner,10k,"G Suite Administration by Google Cloud, Beginner level, SPECIALIZATION"
"GIS, Mapping, and Spatial Analysis",University of Toronto,SPECIALIZATION,4.8,Beginner,140k,"GIS, Mapping, and Spatial Analysis by University of Toronto, Beginner level, SPECIALIZATION"
Game Design and Development,Michigan State University,SPECIALIZATION,4.7,Intermediate,100k,"Game Design and Development by Michigan State University, Intermediate level, SPECIALIZATION"
Game Theory,Stanford University,COURSE,4.6,Beginner,260k,"Game Theory by Stanford University, Beginner level, COURSE"
Gamification,University of Pennsylvania,COURSE,4.8,Mixed,110k,"Gamification by University of Pennsylvania, Mixed level, COURSE"
Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Pittsburgh,COURSE,4.7,Beginner,14k,"Gender and Sexuality: Diversity and Inclusion in the Workplace by University of Pittsburgh, Beginner level, COURSE"
Genomic Data Science,Johns Hopkins University,SPECIALIZATION,4.4,Intermediate,80k,"Genomic Data Science by Johns Hopkins University, Intermediate level, SPECIALIZATION"
Geographic Information Systems  (GIS),"University of California, Davis",SPECIALIZATION,4.8,Beginner,97k,"Geographic Information Systems  (GIS) by University of California, Davis, Beginner level, SPECIALIZATION"
Geopolitics of Europe,Sciences Po,COURSE,4.3,Mixed,19k,"Geopolitics of Europe by Sciences Po, Mixed level, COURSE"
Geopolítica y gobernanza global: riesgos y oportunidades,ESADE Business and Law School,COURSE,4.8,Mixed,34k,"Geopolítica y gobernanza global: riesgos y oportunidades by ESADE Business and Law School, Mixed level, COURSE"
Gestión de organizaciones efectivas,Pontificia Universidad Católica de Chile,COURSE,4.7,Mixed,47k,"Gestión de organizaciones efectivas by Pontificia Universidad Católica de Chile, Mixed level, COURSE"
Get Interactive: Practical Teaching with Technology,Bloomsbury Learning Exchange,COURSE,4.7,Beginner,14k,"Get Interactive: Practical Teaching with Technology by Bloomsbury Learning Exchange, Beginner level, COURSE"
Getting Started With Music Theory,Michigan State University,COURSE,4.5,Beginner,59k,"Getting Started With Music Theory by Michigan State University, Beginner level, COURSE"
Getting Started with AWS Machine Learning,Amazon Web Services,COURSE,4.5,Intermediate,73k,"Getting Started with AWS Machine Learning by Amazon Web Services, Intermediate level, COURSE"
Getting Started with Go,"University of California, Irvine",COURSE,4.6,Intermediate,59k,"Getting Started with Go by University of California, Irvine, Intermediate level, COURSE"
Getting Started with Google Kubernetes Engine,Google Cloud,COURSE,4.5,Intermediate,75k,"Getting Started with Google Kubernetes Engine by Google Cloud, Intermediate level, COURSE"
Getting Started with Google Sheets,Google Cloud,COURSE,4.6,Beginner,18k,"Getting Started with Google Sheets by Google Cloud, Beginner level, COURSE"
Getting Started with SAS Programming,SAS,COURSE,4.9,Beginner,22k,"Getting Started with SAS Programming by SAS, Beginner level, COURSE"
Global Diplomacy – Diplomacy in the Modern World,SOAS University of London,COURSE,4.6,Mixed,79k,"Global Diplomacy – Diplomacy in the Modern World by SOAS University of London, Mixed level, COURSE"
Global Diplomacy: the United Nations in the World,SOAS University of London,COURSE,4.7,Beginner,29k,"Global Diplomacy: the United Nations in the World by SOAS University of London, Beginner level, COURSE"
Global Energy and Climate Policy,SOAS University of London,COURSE,4.5,Beginner,10k,"Global Energy and Climate Policy by SOAS University of London, Beginner level, COURSE"
Global Environmental Management,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,22k,"Global Environmental Management by Technical University of Denmark (DTU), Intermediate level, COURSE"
Global Financial Markets and Instruments,Rice University,COURSE,4.6,Mixed,37k,"Global Financial Markets and Instruments by Rice University, Mixed level, COURSE"
Global Financing Solutions  (by EDHEC and Société Générale),EDHEC Business School,COURSE,4.6,Intermediate,3.6k,"Global Financing Solutions  (by EDHEC and Société Générale) by EDHEC Business School, Intermediate level, COURSE"
Global Trends for Business and Society,University of Pennsylvania,COURSE,4.8,Mixed,7.6k,"Global Trends for Business and Society by University of Pennsylvania, Mixed level, COURSE"
"Globalization, Economic Growth and Stability",IE Business School,SPECIALIZATION,4.8,Intermediate,44k,"Globalization, Economic Growth and Stability by IE Business School, Intermediate level, SPECIALIZATION"
Good with Words: Writing and Editing,University of Michigan,SPECIALIZATION,4.6,Beginner,3.8k,"Good with Words: Writing and Editing by University of Michigan, Beginner level, SPECIALIZATION"
Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,COURSE,4.6,Intermediate,120k,"Google Cloud Platform Big Data and Machine Learning Fundamentals by Google Cloud, Intermediate level, COURSE"
Google Cloud Platform Fundamentals for AWS Professionals,Google Cloud,COURSE,4.7,Intermediate,36k,"Google Cloud Platform Fundamentals for AWS Professionals by Google Cloud, Intermediate level, COURSE"
Google IT Automation with Python,Google,PROFESSIONAL CERTIFICATE,4.7,Beginner,93k,"Google IT Automation with Python by Google, Beginner level, PROFESSIONAL CERTIFICATE"
Google IT Support,Google,PROFESSIONAL CERTIFICATE,4.8,Beginner,350k,"Google IT Support by Google, Beginner level, PROFESSIONAL CERTIFICATE"
Grammar and Punctuation,"University of California, Irvine",COURSE,4.7,Mixed,430k,"Grammar and Punctuation by University of California, Irvine, Mixed level, COURSE"
Graphic Design Elements for Non-Designers,University of Colorado Boulder,SPECIALIZATION,4.7,Beginner,10k,"Graphic Design Elements for Non-Designers by University of Colorado Boulder, Beginner level, SPECIALIZATION"
Greek and Roman Mythology,University of Pennsylvania,COURSE,4.8,Mixed,260k,"Greek and Roman Mythology by University of Pennsylvania, Mixed level, COURSE"
Greening the Economy: Sustainable Cities,Lund University,COURSE,4.6,Beginner,56k,"Greening the Economy: Sustainable Cities by Lund University, Beginner level, COURSE"
Guitar for Beginners,Berklee College of Music,COURSE,4.8,Mixed,210k,"Guitar for Beginners by Berklee College of Music, Mixed level, COURSE"
Gut Check: Exploring Your Microbiome,University of California San Diego,COURSE,4.7,Mixed,62k,"Gut Check: Exploring Your Microbiome by University of California San Diego, Mixed level, COURSE"
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,COURSE,4.8,Mixed,240k,"HTML, CSS, and Javascript for Web Developers by Johns Hopkins University, Mixed level, COURSE"
Habilidades Gerenciales,Universidad Nacional Autónoma de México,SPECIALIZATION,4.7,Beginner,43k,"Habilidades Gerenciales by Universidad Nacional Autónoma de México, Beginner level, SPECIALIZATION"
Hacia una práctica constructivista en el aula,Pontificia Universidad Católica de Chile,COURSE,4.8,Mixed,62k,"Hacia una práctica constructivista en el aula by Pontificia Universidad Católica de Chile, Mixed level, COURSE"
Hardware Description Languages for FPGA Design,University of Colorado Boulder,COURSE,4.2,Intermediate,7.4k,"Hardware Description Languages for FPGA Design by University of Colorado Boulder, Intermediate level, COURSE"
Healing with the Arts,University of Florida,COURSE,4.6,Mixed,39k,"Healing with the Arts by University of Florida, Mixed level, COURSE"
Health Informatics,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,8.1k,"Health Informatics by Johns Hopkins University, Beginner level, SPECIALIZATION"
Health Information Literacy for Data Analytics,"University of California, Davis",SPECIALIZATION,4.5,Intermediate,5.4k,"Health Information Literacy for Data Analytics by University of California, Davis, Intermediate level, SPECIALIZATION"
Healthcare Law,University of Pennsylvania,SPECIALIZATION,4.7,Intermediate,1.7k,"Healthcare Law by University of Pennsylvania, Intermediate level, SPECIALIZATION"
Healthcare Marketplace,University of Minnesota,SPECIALIZATION,4.4,Beginner,36k,"Healthcare Marketplace by University of Minnesota, Beginner level, SPECIALIZATION"
Healthcare Organization Operations,Rutgers the State University of New Jersey,SPECIALIZATION,4.6,Beginner,5.5k,"Healthcare Organization Operations by Rutgers the State University of New Jersey, Beginner level, SPECIALIZATION"
"High Performance Collaboration: Leadership, Teamwork, and Negotiation",Northwestern University,COURSE,4.8,Mixed,46k,"High Performance Collaboration: Leadership, Teamwork, and Negotiation by Northwestern University, Mixed level, COURSE"
Homeland Security and Cybersecurity,University of Colorado System,SPECIALIZATION,4.7,Beginner,5.5k,"Homeland Security and Cybersecurity by University of Colorado System, Beginner level, SPECIALIZATION"
"Hotel Management: Distribution, Revenue and Demand Management",ESSEC Business School,SPECIALIZATION,4.6,Beginner,28k,"Hotel Management: Distribution, Revenue and Demand Management by ESSEC Business School, Beginner level, SPECIALIZATION"
How Things Work: An Introduction to Physics,University of Virginia,COURSE,4.8,Intermediate,170k,"How Things Work: An Introduction to Physics by University of Virginia, Intermediate level, COURSE"
How To Create a Website in a Weekend! (Project-Centered Course),The State University of New York,COURSE,3.3,Mixed,140k,"How To Create a Website in a Weekend! (Project-Centered Course) by The State University of New York, Mixed level, COURSE"
How to Start Your Own Business,Michigan State University,SPECIALIZATION,4.1,Beginner,34k,"How to Start Your Own Business by Michigan State University, Beginner level, SPECIALIZATION"
Human Resource Management: HR for People Managers,University of Minnesota,SPECIALIZATION,4.7,Beginner,98k,"Human Resource Management: HR for People Managers by University of Minnesota, Beginner level, SPECIALIZATION"
IBM AI Engineering,IBM,PROFESSIONAL CERTIFICATE,4.6,Intermediate,140k,"IBM AI Engineering by IBM, Intermediate level, PROFESSIONAL CERTIFICATE"
IBM AI Enterprise Workflow,IBM,SPECIALIZATION,4.4,Advanced,3.5k,"IBM AI Enterprise Workflow by IBM, Advanced level, SPECIALIZATION"
IBM Applied AI,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,220k,"IBM Applied AI by IBM, Beginner level, PROFESSIONAL CERTIFICATE"
IBM Customer Engagement Specialist Professional Certificate,IBM,COURSE,4.8,Beginner,3.3k,"IBM Customer Engagement Specialist Professional Certificate by IBM, Beginner level, COURSE"
IBM Data Science,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,480k,"IBM Data Science by IBM, Beginner level, PROFESSIONAL CERTIFICATE"
IT Fundamentals for Cybersecurity,IBM,SPECIALIZATION,4.5,Beginner,35k,"IT Fundamentals for Cybersecurity by IBM, Beginner level, SPECIALIZATION"
IT Security: Defense against the digital dark arts,Google,COURSE,4.8,Beginner,62k,"IT Security: Defense against the digital dark arts by Google, Beginner level, COURSE"
"Identifying, Monitoring, and Analyzing Risk and Incident Response and Recovery",(ISC)²,COURSE,4.9,Beginner,1.7k,"Identifying, Monitoring, and Analyzing Risk and Incident Response and Recovery by (ISC)², Beginner level, COURSE"
Implementación del Marketing Mix,IE Business School,SPECIALIZATION,4.7,Beginner,23k,"Implementación del Marketing Mix by IE Business School, Beginner level, SPECIALIZATION"
Implementing RPA with Cognitive Automation and Analytics,Automation Anywhere,SPECIALIZATION,4.6,Beginner,2.2k,"Implementing RPA with Cognitive Automation and Analytics by Automation Anywhere, Beginner level, SPECIALIZATION"
Improve Your English Communication Skills,Georgia Institute of Technology,SPECIALIZATION,4.7,Beginner,610k,"Improve Your English Communication Skills by Georgia Institute of Technology, Beginner level, SPECIALIZATION"
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",deeplearning.ai,COURSE,4.9,Beginner,270k,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization by deeplearning.ai, Beginner level, COURSE"
Improving Leadership & Governance in Nonprofit Organizations,Luther College at the University of Regina,SPECIALIZATION,4.4,Beginner,18k,"Improving Leadership & Governance in Nonprofit Organizations by Luther College at the University of Regina, Beginner level, SPECIALIZATION"
In the Studio: Postwar Abstract Painting,The Museum of Modern Art,COURSE,4.9,Beginner,79k,"In the Studio: Postwar Abstract Painting by The Museum of Modern Art, Beginner level, COURSE"
Indigenous Canada,University of Alberta,COURSE,4.8,Mixed,51k,"Indigenous Canada by University of Alberta, Mixed level, COURSE"
Industrial IoT on Google Cloud Platform,Google Cloud,COURSE,4.5,Beginner,34k,"Industrial IoT on Google Cloud Platform by Google Cloud, Beginner level, COURSE"
Infectious Disease Modelling,Imperial College London,SPECIALIZATION,5.0,Intermediate,1.6k,"Infectious Disease Modelling by Imperial College London, Intermediate level, SPECIALIZATION"
Influencer Marketing Strategy,Rutgers the State University of New Jersey,COURSE,4.4,Intermediate,12k,"Influencer Marketing Strategy by Rutgers the State University of New Jersey, Intermediate level, COURSE"
"Influencing: Storytelling, Change Management and Governance",Macquarie University,SPECIALIZATION,4.8,Beginner,22k,"Influencing: Storytelling, Change Management and Governance by Macquarie University, Beginner level, SPECIALIZATION"
Information Security: Context and Introduction,"Royal Holloway, University of London",COURSE,4.6,Beginner,32k,"Information Security: Context and Introduction by Royal Holloway, University of London, Beginner level, COURSE"
Information Visualization,New York University,SPECIALIZATION,4.6,Beginner,10k,"Information Visualization by New York University, Beginner level, SPECIALIZATION"
Information​ ​Systems,University of Minnesota,SPECIALIZATION,4.7,Beginner,16k,"Information​ ​Systems by University of Minnesota, Beginner level, SPECIALIZATION"
Initiating and Planning Projects,"University of California, Irvine",COURSE,4.7,Mixed,180k,"Initiating and Planning Projects by University of California, Irvine, Mixed level, COURSE"
Innovation Management,Erasmus University Rotterdam,COURSE,4.6,Beginner,40k,"Innovation Management by Erasmus University Rotterdam, Beginner level, COURSE"
"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,COURSE,4.8,Beginner,10k,"Innovation Through Design: Think, Make, Break, Repeat by The University of Sydney, Beginner level, COURSE"
Innovation: From Creativity to Entrepreneurship,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Beginner,25k,"Innovation: From Creativity to Entrepreneurship by University of Illinois at Urbana-Champaign, Beginner level, SPECIALIZATION"
Inspirational Leadership: Leading with Sense,HEC Paris,SPECIALIZATION,4.5,Beginner,72k,"Inspirational Leadership: Leading with Sense by HEC Paris, Beginner level, SPECIALIZATION"
Inspired Leadership,Case Western Reserve University,SPECIALIZATION,4.7,Intermediate,97k,"Inspired Leadership by Case Western Reserve University, Intermediate level, SPECIALIZATION"
Inspiring and Motivating Individuals,University of Michigan,COURSE,4.8,Mixed,85k,"Inspiring and Motivating Individuals by University of Michigan, Mixed level, COURSE"
Instructional Design Foundations and Applications,University of Illinois at Urbana-Champaign,COURSE,4.2,Mixed,12k,"Instructional Design Foundations and Applications by University of Illinois at Urbana-Champaign, Mixed level, COURSE"
Instructional Methods in Health Professions Education,University of Michigan,COURSE,4.6,Intermediate,9.7k,"Instructional Methods in Health Professions Education by University of Michigan, Intermediate level, COURSE"
Integrative Health and Medicine,University of Minnesota,SPECIALIZATION,4.8,Beginner,14k,"Integrative Health and Medicine by University of Minnesota, Beginner level, SPECIALIZATION"
Intellectual Property Law,University of Pennsylvania,SPECIALIZATION,4.8,Intermediate,8.7k,"Intellectual Property Law by University of Pennsylvania, Intermediate level, SPECIALIZATION"
Interaction Design,University of California San Diego,SPECIALIZATION,4.5,Intermediate,150k,"Interaction Design by University of California San Diego, Intermediate level, SPECIALIZATION"
Intercultural Management,ESCP Business School,COURSE,4.6,Beginner,6.5k,"Intercultural Management by ESCP Business School, Beginner level, COURSE"
International Business Essentials,University of London,SPECIALIZATION,4.5,Intermediate,22k,"International Business Essentials by University of London, Intermediate level, SPECIALIZATION"
International Cyber Conflicts,The State University of New York,COURSE,4.4,Mixed,25k,"International Cyber Conflicts by The State University of New York, Mixed level, COURSE"
International Humanitarian Law in Theory and Practice,Kalshoven-Gieskes Forum,COURSE,4.8,Beginner,22k,"International Humanitarian Law in Theory and Practice by Kalshoven-Gieskes Forum, Beginner level, COURSE"
International Law in Action: A Guide to the International Courts and Tribunals in The Hague,Universiteit Leiden,COURSE,4.8,Mixed,36k,"International Law in Action: A Guide to the International Courts and Tribunals in The Hague by Universiteit Leiden, Mixed level, COURSE"
International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,COURSE,4.8,Mixed,19k,"International Law in Action: the Arbitration of International Disputes by Universiteit Leiden, Mixed level, COURSE"
International Leadership and Organizational Behavior,Università Bocconi,COURSE,4.8,Mixed,41k,"International Leadership and Organizational Behavior by Università Bocconi, Mixed level, COURSE"
International Marketing & Cross Industry Growth,Yonsei University,SPECIALIZATION,4.6,Beginner,26k,"International Marketing & Cross Industry Growth by Yonsei University, Beginner level, SPECIALIZATION"
International Organizations Management,University of Geneva,COURSE,4.8,Beginner,20k,"International Organizations Management by University of Geneva, Beginner level, COURSE"
International Security Management,Erasmus University Rotterdam,COURSE,4.5,Beginner,2.2k,"International Security Management by Erasmus University Rotterdam, Beginner level, COURSE"
International Women's Health and Human Rights,Stanford University,COURSE,4.9,Beginner,35k,"International Women's Health and Human Rights by Stanford University, Beginner level, COURSE"
International migrations: a global issue,Sciences Po,COURSE,4.6,Beginner,11k,"International migrations: a global issue by Sciences Po, Beginner level, COURSE"
Internet Connection: How to Get Online?,Cisco,COURSE,4.7,Beginner,36k,"Internet Connection: How to Get Online? by Cisco, Beginner level, COURSE"
Internet Giants: The Law and Economics of Media Platforms,The University of Chicago,COURSE,4.8,Mixed,38k,"Internet Giants: The Law and Economics of Media Platforms by The University of Chicago, Mixed level, COURSE"
Interviewing and Resume Writing in English,"University of Maryland, College Park",SPECIALIZATION,4.6,Intermediate,66k,"Interviewing and Resume Writing in English by University of Maryland, College Park, Intermediate level, SPECIALIZATION"
Introducción a Data Science: Programación Estadística con R,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,140k,"Introducción a Data Science: Programación Estadística con R by Universidad Nacional Autónoma de México, Beginner level, COURSE"
Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,COURSE,4.4,Beginner,100k,"Introducción a la programación en Python I: Aprendiendo a programar con Python by Pontificia Universidad Católica de Chile, Beginner level, COURSE"
Introduction aux Droits de l’Homme,University of Geneva,COURSE,4.8,Mixed,46k,"Introduction aux Droits de l’Homme by University of Geneva, Mixed level, COURSE"
Introduction to Ableton Live,Berklee College of Music,COURSE,4.8,Mixed,60k,"Introduction to Ableton Live by Berklee College of Music, Mixed level, COURSE"
Introduction to Artificial Intelligence (AI),IBM,COURSE,4.7,Beginner,44k,"Introduction to Artificial Intelligence (AI) by IBM, Beginner level, COURSE"
Introduction to Big Data,University of California San Diego,COURSE,4.6,Mixed,160k,"Introduction to Big Data by University of California San Diego, Mixed level, COURSE"
Introduction to Blockchain Technologies,INSEAD,COURSE,4.7,Beginner,16k,"Introduction to Blockchain Technologies by INSEAD, Beginner level, COURSE"
Introduction to Breast Cancer,Yale University,COURSE,4.9,Mixed,27k,"Introduction to Breast Cancer by Yale University, Mixed level, COURSE"
Introduction to Business Analytics: Communicating with Data,University of Illinois at Urbana-Champaign,COURSE,4.7,Intermediate,14k,"Introduction to Business Analytics: Communicating with Data by University of Illinois at Urbana-Champaign, Intermediate level, COURSE"
Introduction to CSS3,University of Michigan,COURSE,4.8,Mixed,84k,"Introduction to CSS3 by University of Michigan, Mixed level, COURSE"
Introduction to Calculus,The University of Sydney,COURSE,4.8,Intermediate,53k,"Introduction to Calculus by The University of Sydney, Intermediate level, COURSE"
Introduction to Chemistry:  Reactions and Ratios,Duke University,COURSE,4.8,Beginner,46k,"Introduction to Chemistry:  Reactions and Ratios by Duke University, Beginner level, COURSE"
Introduction to Classical Music,Yale University,COURSE,4.9,Mixed,150k,"Introduction to Classical Music by Yale University, Mixed level, COURSE"
Introduction to Cloud Computing,IBM,COURSE,4.6,Beginner,2.6k,"Introduction to Cloud Computing by IBM, Beginner level, COURSE"
Introduction to Computer Programming,"Goldsmiths, University of London",COURSE,4.3,Beginner,20k,"Introduction to Computer Programming by Goldsmiths, University of London, Beginner level, COURSE"
Introduction to Computer Science and Programming,"Goldsmiths, University of London",SPECIALIZATION,4.3,Beginner,32k,"Introduction to Computer Science and Programming by Goldsmiths, University of London, Beginner level, SPECIALIZATION"
Introduction to Corporate Finance,University of Pennsylvania,COURSE,4.6,Mixed,130k,"Introduction to Corporate Finance by University of Pennsylvania, Mixed level, COURSE"
Introduction to Cyber Attacks,New York University,COURSE,4.7,Beginner,27k,"Introduction to Cyber Attacks by New York University, Beginner level, COURSE"
Introduction to Cyber Security,New York University,SPECIALIZATION,4.7,Beginner,32k,"Introduction to Cyber Security by New York University, Beginner level, SPECIALIZATION"
Introduction to Cybersecurity Tools & Cyber Attacks,IBM,COURSE,4.5,Beginner,30k,"Introduction to Cybersecurity Tools & Cyber Attacks by IBM, Beginner level, COURSE"
Introduction to Data Analysis Using Excel,Rice University,COURSE,4.7,Mixed,99k,"Introduction to Data Analysis Using Excel by Rice University, Mixed level, COURSE"
Introduction to Data Science,IBM,SPECIALIZATION,4.6,Beginner,310k,"Introduction to Data Science by IBM, Beginner level, SPECIALIZATION"
Introduction to Data Science in Python,University of Michigan,COURSE,4.5,Intermediate,390k,"Introduction to Data Science in Python by University of Michigan, Intermediate level, COURSE"
Introduction to Dental Medicine,University of Pennsylvania,COURSE,4.8,Beginner,25k,"Introduction to Dental Medicine by University of Pennsylvania, Beginner level, COURSE"
Introduction to Discrete Mathematics for Computer Science,National Research University Higher School of Economics,SPECIALIZATION,4.4,Beginner,75k,"Introduction to Discrete Mathematics for Computer Science by National Research University Higher School of Economics, Beginner level, SPECIALIZATION"
Introduction to Electronics,Georgia Institute of Technology,COURSE,4.7,Mixed,110k,"Introduction to Electronics by Georgia Institute of Technology, Mixed level, COURSE"
Introduction to Embedded Systems Software and Development Environments,University of Colorado Boulder,COURSE,4.5,Intermediate,41k,"Introduction to Embedded Systems Software and Development Environments by University of Colorado Boulder, Intermediate level, COURSE"
Introduction to Engineering Mechanics,Georgia Institute of Technology,COURSE,4.7,Mixed,150k,"Introduction to Engineering Mechanics by Georgia Institute of Technology, Mixed level, COURSE"
Introduction to Environmental Law and Policy,The University of North Carolina at Chapel Hill,COURSE,4.8,Mixed,34k,"Introduction to Environmental Law and Policy by The University of North Carolina at Chapel Hill, Mixed level, COURSE"
Introduction to Financial Accounting,University of Pennsylvania,COURSE,4.7,Mixed,200k,"Introduction to Financial Accounting by University of Pennsylvania, Mixed level, COURSE"
Introduction to Forensic Science,"Nanyang Technological University, Singapore",COURSE,4.9,Mixed,47k,"Introduction to Forensic Science by Nanyang Technological University, Singapore, Mixed level, COURSE"
Introduction to Game Development,Michigan State University,COURSE,4.8,Mixed,79k,"Introduction to Game Development by Michigan State University, Mixed level, COURSE"
Introduction to Genetics and Evolution,Duke University,COURSE,4.8,Mixed,74k,"Introduction to Genetics and Evolution by Duke University, Mixed level, COURSE"
Introduction to Genomic Technologies,Johns Hopkins University,COURSE,4.6,Mixed,42k,"Introduction to Genomic Technologies by Johns Hopkins University, Mixed level, COURSE"
Introduction to HTML5,University of Michigan,COURSE,4.7,Mixed,220k,"Introduction to HTML5 by University of Michigan, Mixed level, COURSE"
Introduction to Imagemaking,California Institute of the Arts,COURSE,4.5,Beginner,54k,"Introduction to Imagemaking by California Institute of the Arts, Beginner level, COURSE"
Introduction to Intellectual Property,University of Pennsylvania,COURSE,4.8,Beginner,6k,"Introduction to Intellectual Property by University of Pennsylvania, Beginner level, COURSE"
Introduction to International Criminal Law,Case Western Reserve University,COURSE,4.8,Mixed,82k,"Introduction to International Criminal Law by Case Western Reserve University, Mixed level, COURSE"
